stairs.thisTrialN	stairs.stepSize	stairs.intensity	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	corrAns	tilt	key_resp.corr	stairs.response	key_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
0	2	10	20.4712494	21.1099651	21.1099651	21.1099651	21.4128983	left	-10	1	1	0.5015149	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
1	2	8	21.6440062	22.1292505	22.1292505	22.1292505	22.4437816	left	-8	1	1	0.4444296	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
2	2	6	22.5936993	23.093904	23.093904	23.093904	23.3942223	right	6	1	1	0.4780445	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
3	2	4	23.5939002	24.0939021	24.0939021	24.0939021	24.3943579	left	-4	1	1	0.411412	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
4	2	2	24.5280828	25.0282089	25.0282089	25.0282089	25.3279722	right	2	1	1	0.4643092	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
5	2	1	25.5110967	26.0112907	26.0112907	26.0112907	26.3110121	left	-1	1	1	0.4142728	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
6	2	1	26.4445681	26.9445837	26.9445837	26.9445837	27.2446479	left	-1	1	1	0.5703275	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
7	2	1	27.5456201	28.0447776	28.0447776	28.0447776	28.3444072	right	1	1	1	0.7029123	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
8	2	1	28.7773694	29.2817156	29.2817156	29.2817156	29.581259	right	1	1	1	0.5968983	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
9	1	1	29.9114447	30.3983077	30.3983077	30.3983077	30.7116928	right	1	0	0	0.9569506	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
10	1	2	31.3783362	31.8643713	31.8643713	31.8643713	32.165094	left	-2	1	1	0.4700938	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
11	1	2	32.3785922	32.8634488	32.8634488	32.8634488	33.1649018	right	2	1	1	0.468769	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
12	1	2	33.3785063	33.8647229	33.8647229	33.8647229	34.1802394	left	-2	1	1	0.4608728	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
13	1	1	34.3618515	34.8455883	34.8455883	34.8455883	35.1469247	right	1	1	1	0.4472645	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
14	1	1	35.3295465	35.8134266	35.8134266	35.8134266	36.1136633	left	-1	1	1	0.4118463	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
15	1	1	36.2609499	36.7471941	36.7471941	36.7471941	37.0472888	right	1	1	1	0.4863458	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
16	1	1	37.2782209	37.7637509	37.7637509	37.7637509	38.0797519	left	-1	1	1	0.4136858	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
17	1	1	38.2113689	38.6959556	38.6959556	38.6959556	38.9960884	right	1	1	1	0.8146365	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
18	1	1	39.5439321	40.0290868	40.0290868	40.0290868	40.3291115	right	1	1	1	0.6140784	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
19	1	1	40.6775944	41.1621495	41.1621495	41.1621495	41.4626741	left	-1	1	1	0.447503	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
20	1	1	41.6438157	42.1281433	42.1281433	42.1281433	42.4290317	left	-1	1	1	0.5364261	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
21	1	1	42.7262893	43.1959502	43.1959502	43.1959502	43.4962812	left	-1	1	1	0.6052714	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
22	1	1	43.8432716	44.3282589	44.3282589	44.3282589	44.6296644	left	-1	1	1	0.4848544	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
23	1	1	44.8597879	45.3452911	45.3452911	45.3452911	45.6455266	left	-1	1	1	0.5939819	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
24	1	1	45.9756724	46.461427	46.461427	46.461427	46.7615846	left	-1	1	1	0.4776626	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
25	1	1	46.9747973	47.4576957	47.4576957	47.4576957	47.7577757	right	1	1	1	0.5848942	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
26	0.5	1	48.0757458	48.5631457	48.5631457	48.5631457	48.8615415	right	1	0	0	0.3755471	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
27	0.5	1.5	48.9756013	49.4603102	49.4603102	49.4603102	49.7616232	left	-1.5	1	1	0.5484058	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
28	0.5	1.5	50.0420846	50.5277974	50.5277974	50.5277974	50.8286862	left	-1.5	1	1	0.4949616	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
